SC   OPT NON-OPT
0.98  1.747  1.730
1.30  2.980  1.703
3.55  2.583  4.280
1.74  0.550  1.020
1.72  2.053  2.940
1.83  3.720  2.690
4.72  3.553  1.000
1.64  2.000  2.000
2.97  3.000  3.560
2.18  4.930  1.333
0.98  1.667  1.560
1.08  3.000  2.250
3.58  1.913  4.730
2.83  1.000  2.137
2.00  1.833  2.950
1.50  3.550  1.883
4.38  1.217  0.390
1.67  1.760  2.000
2.51  0.840  3.730
2.25  4.580  2.580
0.58  0.993  1.560
2.17  3.000  1.500
3.58  2.747  4.810
2.00  0.300  2.247
1.31  0.997  3.000
2.14  3.750  1.750
4.97  2.053  0.950
2.33  1.730  1.970
2.75  2.283  3.800
2.58  4.900  1.667
1.00  2.083  1.800
1.47  2.750  2.680
4.00  1.833  4.680
3.00 
